"record_id","state_territory","organization","canonical_domain","current_officeholder_name","current_officeholder_title","officeholder_confirmed","org_email_final","org_email_source","org_email_status","org_email_evidence_tier","org_email_evidence_url","org_email_confidence","org_email_agreement","leadership_email_final","leadership_email_source","leadership_email_status","leadership_email_basis","leadership_email_evidence_tier","leadership_email_evidence_url","leadership_email_confidence","leadership_email_agreement","open_issues","needs_manual_review","reconciled_by","reconciled_date"
"R12","Guam","The Guam Economic Development Authority","investguam.com","Christina Garcia","CEO / Administrator","Y","info@investguam.com","comet","VALIDATED","2","https://www.investguam.com/wp-content/uploads/2025/Financial%20Reports/CCR%202024_revised%208.22.25.pdf","87","COMET_ONLY","cgarcia@investguam.com","comet","VALIDATED","DIRECT_SOURCE","2","https://guamlegislature.gov/38th_Guam_Legislature/Mess_Comms_38th/Doc.%20No.%2038GL-26-2307.pdf","92","COMET_ONLY","","no","comet (single-source; claude output absent)","2026-06-09"
"R13","Hawaii","The Hawaii Department of Business, Economic Development & Tourism","hawaii.gov","James Kunane Tokioka","Director","Y","dbedt.director@hawaii.gov","comet","VALIDATED","1","https://dbedt.hawaii.gov/contact/","95","COMET_ONLY","James.tokioka@hawaii.gov","comet","VALIDATED","DIRECT_SOURCE","2","https://www.hawaiitourismauthority.org/media/12335/handout-06b-hta-response-to-representative-quinlans-email-dated-june-15-2023.pdf","67","COMET_ONLY","","no","comet (single-source; claude output absent)","2026-06-09"
"R14","Idaho","The Idaho Department of Commerce","commerce.idaho.gov","Tom Kealey","Director","Y","info@commerce.idaho.gov","comet","VALIDATED","1","https://commerce.idaho.gov/faqs/","95","COMET_ONLY","tom.kealey@commerce.idaho.gov","comet","VALIDATED","DIRECT_SOURCE","1","https://commerce.idaho.gov/contact-us/","100","COMET_ONLY","","no","comet (single-source; claude output absent)","2026-06-09"
"R15","Illinois","The Illinois Department of Commerce and Economic Opportunity","illinois.gov","Kristin Richards","Director","Y","BIC@Illinois.gov","comet","VALIDATED","1","https://dceo.illinois.gov/smallbizassistance/beginhere/businessinformationcenter.html","95","COMET_ONLY","kristin.richards@illinois.gov","comet","VALIDATED","DIRECT_SOURCE","2","https://dceo.illinois.gov/content/dam/soi/en/web/dceo/communityservices/homeweatherization/documents/2026-ihwap-doe-state-plan-draft-v2.pdf","92","COMET_ONLY","","no","comet (single-source; claude output absent)","2026-06-09"
"R16","Indiana","The Indiana Economic Development Corporation","iedc.in.gov","David J. Adams","Secretary of Commerce","Y","transparency@iedc.in.gov","comet","VALIDATED","1","https://transparencyportal.iedc.in.gov/home","95","COMET_ONLY","DAdams@iedc.in.gov","comet","INFERRED","CONVENTION_INFERENCE","4","https://iedc.in.gov/contact","65","COMET_ONLY","leadership email is convention-inferred (not seen directly); verify before high-stakes use; org email (transparency@iedc.in.gov) is not a generic info@ address; it is the closest designated public contact — confirm fit for use","no","comet (single-source; claude output absent)","2026-06-09"
"R17","Iowa","The Iowa Economic Development Authority","iowaeda.com","Debi Durham","Director, Iowa Economic Development Authority & Iowa Finance Authority","Y","info@iowaeda.com","comet","VALIDATED","1","https://opportunityiowa.gov/contact","95","COMET_ONLY","debi.durham@iowaeda.com","comet","VALIDATED","DIRECT_SOURCE","1","https://www.legis.iowa.gov/publications/departments/details?groupID=19243","75","COMET_ONLY","","no","comet (single-source; claude output absent)","2026-06-09"
"R18","Kansas","The Kansas Department of Commerce","ks.gov","David Toland","Lieutenant Governor and Secretary of Commerce","Y","kdc_marketing@ks.gov","comet","VALIDATED","1","https://www.kansascommerce.gov/cookie-policy/","95","COMET_ONLY","David.Toland@ks.gov","comet","VALIDATED","DIRECT_SOURCE","1","https://www.kansascommerce.gov/contact/","75","COMET_ONLY","","no","comet (single-source; claude output absent)","2026-06-09"
"R19","Kentucky","The Kentucky Cabinet for Economic Development","ky.gov","Jeff Noel","Secretary of the Cabinet for Economic Development","Y","econdev@ky.gov","comet","VALIDATED","1","https://newkentuckyhome.ky.gov/Home/ContactUs","95","COMET_ONLY","Jeff.Noel@ky.gov","comet","VALIDATED","DIRECT_SOURCE","1","https://newkentuckyhome.ky.gov/Home/Staff","100","COMET_ONLY","","no","comet (single-source; claude output absent)","2026-06-09"
"R20","Louisiana","Louisiana Economic Development","la.gov","Susan Bourgeois","Secretary","Y","LED@la.gov","comet","VALIDATED","1","https://www.opportunitylouisiana.gov/contact-us","95","COMET_ONLY","susan.bourgeois@la.gov","comet","VALIDATED","DIRECT_SOURCE","1","https://www.legis.la.gov/legis/BoardMembersPrint.aspx?b=187","100","COMET_ONLY","","no","comet (single-source; claude output absent)","2026-06-09"
"R21","Maine","The Maine Department of Economic and Community Development","maine.gov","Michael Duguay","Commissioner","Y","business.answers@maine.gov","comet","VALIDATED","1","https://www.maine.gov/decd/business-development/start-grow/contact-us","70","COMET_ONLY","michael.duguay@maine.gov","comet","VALIDATED","DIRECT_SOURCE","2","https://mpuc-cms.maine.gov/CQM.Public.WebUI/Common/CaseMaster.aspx?CaseNumber=2025-00013","92","COMET_ONLY","","no","comet (single-source; claude output absent)","2026-06-09"
"R22","Maryland","The Maryland Department of Commerce","maryland.gov","Harry Coker, Jr.","Secretary of Commerce","Y","communications.commerce@maryland.gov","comet","VALIDATED","1","https://commerce.maryland.gov/commerce/contact-us","95","COMET_ONLY","harry.coker@maryland.gov","comet","VALIDATED","DIRECT_SOURCE","2","https://msa.maryland.gov/msa/mdmanual/08conoff/cabinet/html/eco.html","92","COMET_ONLY","","no","comet (single-source; claude output absent)","2026-06-09"
"R23","Massachusetts","The Massachusetts Executive Office of Economic Development","mass.gov","Eric Paley","Secretary","Y","","comet","UNVERIFIED","","https://www.mass.gov/orgs/executive-office-of-economic-development","5","COMET_ONLY","Eric.Paley@mass.gov","comet","VALIDATED","DIRECT_SOURCE","2","https://maoig.gov/wp-content/uploads/Recent-Action-to-Reclaim-Tax-Incentives-OIG-Letter.pdf","92","COMET_ONLY","org email unverified: contact form only — https://www.mass.gov/orgs/executive-office-of-economic-development; ALT: Press Contact: margaret.m.quackenbush@mass.gov;","YES (org)","comet (single-source; claude output absent)","2026-06-09"
"R24","Michigan","The Michigan Economic Development Corporation","michigan.org","Quentin L. Messer, Jr.","Chief Executive & Economic Competitiveness Officer","Y","webmaster@michigan.org","comet","VALIDATED","1","https://www.miplace.org/about-us/terms-and-conditions/","95","COMET_ONLY","messerq@michigan.org","comet","VALIDATED","DIRECT_SOURCE","1","https://www.michiganbusiness.org/about-medc/medc-leadership/quentin-l-messer-jr/","75","COMET_ONLY","org email (webmaster@michigan.org) is not a generic info@ address; it is the closest designated public contact — confirm fit for use","no","comet (single-source; claude output absent)","2026-06-09"
"R25","Minnesota","The Minnesota Department of Employment and Economic Development","state.mn.us","Matt Varilek","Commissioner","Y","DEED.CustomerService@state.mn.us","comet","VALIDATED","2","https://www.lrl.mn.gov/docs/2026/mandated/260334.pdf","87","COMET_ONLY","matt.varilek@state.mn.us","comet","VALIDATED","DIRECT_SOURCE","1","https://www.eqb.state.mn.us/matt-varilek","75","COMET_ONLY","","no","comet (single-source; claude output absent)","2026-06-09"
"R26","Mississippi","The Mississippi Development Authority","mississippi.org","Bill Cork","Executive Director","Y","marketing&comm@mississippi.org","comet","VALIDATED","1","https://mississippi.org/privacy/","95","COMET_ONLY","bcork@mississippi.org","comet","INFERRED","CONVENTION_INFERENCE","4","https://www.linkedin.com/posts/william-cork-46170519b_mississippi-development-authority-activity-7392290264385507328-EEiR","65","COMET_ONLY","leadership email is convention-inferred (not seen directly); verify before high-stakes use","no","comet (single-source; claude output absent)","2026-06-09"
"R27","Missouri","The Missouri Department of Economic Development","ded.mo.gov","Michelle Hataway","Director","Y","ecodev@ded.mo.gov","comet","VALIDATED","1","https://ded.mo.gov/about","70","COMET_ONLY","michelle.hataway@ded.mo.gov","comet","VALIDATED","DIRECT_SOURCE","1","https://engage2.mo.gov/change-champions-old/","95","COMET_ONLY","","no","comet (single-source; claude output absent)","2026-06-09"
"R28","Montana","The Montana Department of Commerce","mt.gov","Marta Bertoglio","Director","Y","","comet","UNVERIFIED","","https://commerce.mt.gov/Contact/","5","COMET_ONLY","marta.bertoglio@mt.gov","comet","VALIDATED","DIRECT_SOURCE","1","https://directory.mt.gov/govt/state-dir/agency/commerce","100","COMET_ONLY","org email unverified: contact form only — [Official Contact Page](https://commerce.mt.gov/Contact/index). ALT: docadministrativerules@mt.gov (rules); publicrecord","YES (org)","comet (single-source; claude output absent)","2026-06-09"
"R29","Nebraska","The Nebraska Department of Economic Development","nebraska.gov","Maureen Larsen","Director","Y","","comet","UNVERIFIED","","https://opportunity.nebraska.gov/contact/","5","COMET_ONLY","maureen.larsen@nebraska.gov","comet","VALIDATED","DIRECT_SOURCE","1","https://opportunity.nebraska.gov/contact/","100","COMET_ONLY","org email unverified: contact form only — https://opportunity.nebraska.gov/contact/#form; ALT: ded.info@nebraska.gov (legacy 2020), ded.publiccomment@nebraska.gov","YES (org)","comet (single-source; claude output absent)","2026-06-09"
"R30","Nevada","The Nevada Governor's Office of Economic Development","goed.nv.gov","Tom Burns","Executive Director","Y","goed@goed.nv.gov","comet","VALIDATED","1","https://goed.nv.gov/contact/","95","COMET_ONLY","tjburns@goed.nv.gov","comet","VALIDATED","DIRECT_SOURCE","1","https://goed.nv.gov/goed-team/","100","COMET_ONLY","","no","comet (single-source; claude output absent)","2026-06-09"
"R31","New Hampshire","The New Hampshire Department of Business and Economic Affairs","livefree.nh.gov","Lucy Lange","Commissioner","Y","planning@livefree.nh.gov","comet","VALIDATED","1","https://www.nheconomy.com/office-of-planning-and-development/who-we-are","95","COMET_ONLY","lucy.lange@livefree.nh.gov","comet","INFERRED","CONVENTION_INFERENCE","4","https://www.nheconomy.com/About-Us/Meet-the-Staff","40","COMET_ONLY","leadership email is convention-inferred (not seen directly); verify before high-stakes use","YES (lead-lowconf)","comet (single-source; claude output absent)","2026-06-09"
"R32","New Jersey","The New Jersey Economic Development Authority","njeda.gov","Evan Weiss","Chief Executive Officer","Y","CustomerCare@njeda.com","comet","VALIDATED","1","https://www.njeda.gov/about/","95","COMET_ONLY","evan.weiss@njeda.gov","comet","INFERRED","CONVENTION_INFERENCE","4","https://buildsbio.org/wp-content/uploads/2026/02/NJ-Life-Sciences-Research-Report-2025.pdf","40","COMET_ONLY","leadership email is convention-inferred (not seen directly); verify before high-stakes use","YES (lead-lowconf)","comet (single-source; claude output absent)","2026-06-09"
"R33","New Mexico","The New Mexico Economic Development Department","edd.nm.gov","Rob Black","Cabinet Secretary","Y","info@edd.nm.gov","comet","VALIDATED","1","https://www.edd.newmexico.gov/contact-us/","95","COMET_ONLY","Rob.Black@edd.nm.gov","comet","VALIDATED","DIRECT_SOURCE","1","https://www.edd.newmexico.gov/about-us/directory/","100","COMET_ONLY","","no","comet (single-source; claude output absent)","2026-06-09"
"R34","New York","Empire State Development","esd.ny.gov","Hope Knight","President, CEO, and Commissioner","Y","PrivacyPolicy@esd.ny.gov","comet","VALIDATED","1","https://esd.ny.gov/privacy-policy","80","COMET_ONLY","Hope.Knight@esd.ny.gov","comet","VALIDATED","DIRECT_SOURCE","2","https://documents.dps.ny.gov/public/Common/ViewDoc.aspx?DocRefId=%7BB0385F8F-0000-C01C-B094-682BA94B7A69%7D","77","COMET_ONLY","","no","comet (single-source; claude output absent)","2026-06-09"
"R35","North Carolina","The Economic Development Partnership of North Carolina","edpnc.com","Christopher Chung","Chief Executive Officer","Y","privacy@edpnc.com","comet","VALIDATED","1","https://edpnc.com/privacy-policy/","70","COMET_ONLY","christopher.chung@edpnc.com","comet","VALIDATED","DIRECT_SOURCE","1","https://edpnc.com/who-we-are/","100","COMET_ONLY","org email (privacy@edpnc.com) is not a generic info@ address; it is the closest designated public contact — confirm fit for use","no","comet (single-source; claude output absent)","2026-06-09"
"R36","North Dakota","The North Dakota Department of Commerce","nd.gov","Chris Schilken","Commissioner","Y","commerce@nd.gov","comet","VALIDATED","1","https://www.commerce.nd.gov/contact-us/commerce-team-members","95","COMET_ONLY","cschilken@nd.gov","comet","VALIDATED","DIRECT_SOURCE","1","https://www.commerce.nd.gov/contact-us/commerce-team-members/commerce-administrative-team","75","COMET_ONLY","","no","comet (single-source; claude output absent)","2026-06-09"
"R37","Northern Mariana Islands","The Department of Commerce for the Commonwealth of the Northern Mariana Islands","commerce.gov.mp","Remedio C. Mafnas","Secretary of Commerce","Y","info@commerce.gov.mp","comet","VALIDATED","1","https://commerce.gov.mp/","95","COMET_ONLY","secretary.mafnas@commerce.gov.mp","comet","VALIDATED","DIRECT_SOURCE","2","https://opd.gov.mp/assets/gov_directory.pdf","92","COMET_ONLY","","no","comet (single-source; claude output absent)","2026-06-09"
"R38","Ohio","The Ohio Department of Development","development.ohio.gov","Lydia Mihalik","Director","Y","","comet","UNVERIFIED","","https://development.ohio.gov/help-center","5","COMET_ONLY","Lydia.Mihalik@development.ohio.gov","comet","VALIDATED","DIRECT_SOURCE","2","https://dam.assets.ohio.gov/image/upload/development.ohio.gov/community/coummunityresources/Draft_FY24_Preservation_and_Reinvestment_Initiative_for_Community_Enhancement_PRICE_Program_Application.pdf","77","COMET_ONLY","org email unverified: contact form only — https://development.ohio.gov/about-us/contact-us; ALT: communication@development.ohio.gov (Public Records/Media), suppli","YES (org)","comet (single-source; claude output absent)","2026-06-09"
"R39","Oklahoma","The Oklahoma Department of Commerce","okcommerce.gov","Deborah Moorad","Secretary of Commerce","Y","info@okcommerce.gov","comet","VALIDATED","1","https://www.okcommerce.gov/privacy-policy-legal-notice/","70","COMET_ONLY","deborah.moorad@okcommerce.gov","comet","INFERRED","CONVENTION_INFERENCE","4","https://www.okcommerce.gov/about-us/our-team/","65","COMET_ONLY","leadership email is convention-inferred (not seen directly); verify before high-stakes use","no","comet (single-source; claude output absent)","2026-06-09"
"R40","Oregon","Business Oregon","biz.oregon.gov","Sophorn Cheang","Director","Y","business.oregon@oregon.gov","comet","VALIDATED","1","https://www.oregon.gov/biz/aboutus/contactus/Pages/default.aspx","70","COMET_ONLY","Sophorn.Cheang@biz.oregon.gov","comet","VALIDATED","DIRECT_SOURCE","2","https://www.oregonlegislature.gov/cis/GovToGovReports/Annual%20Report%20(Business%20Oregon)%202025.pdf","87","COMET_ONLY","","no","comet (single-source; claude output absent)","2026-06-09"
"R41","Pennsylvania","The Pennsylvania Department of Community & Economic Development","pa.gov","Rick Siger","Secretary","Y","ra-dcedcs@pa.gov","comet","VALIDATED","1","https://dced.pa.gov/privacy-policy/","95","COMET_ONLY","fsiger@pa.gov","comet","VALIDATED","DIRECT_SOURCE","1","https://www.pa.gov/agencies/dep/public-participation/environmental-quality-board/eqb-membership-list","100","COMET_ONLY","","no","comet (single-source; claude output absent)","2026-06-09"
"R42","Puerto Rico","The Puerto Rico Department of Economic Development and Commerce","ddec.pr.gov","Roberto Lefranc Fortuño","Acting Secretary (Deputy Secretary)","Y","oficialesdeinformacion@ddec.pr.gov","comet","VALIDATED","1","https://www.desarrollo.pr.gov/en/acceso-informacion","90","COMET_ONLY","roberto.lefranc@ddec.pr.gov","comet","INFERRED","CONVENTION_INFERENCE","4","https://federalcontracting.ddec.pr.gov/contact-us","65","COMET_ONLY","leadership email is convention-inferred (not seen directly); verify before high-stakes use","no","comet (single-source; claude output absent)","2026-06-09"
"R43","Rhode Island","Rhode Island Commerce","commerceri.com","Stefan Pryor","Secretary of Commerce","Y","info@commerceri.com","comet","VALIDATED","1","https://commerceri.com/contact-us/","95","COMET_ONLY","Stefan.Pryor@commerce.ri.gov","comet","VALIDATED","DIRECT_SOURCE","2","https://creconline.org/wp-content/uploads/2019/01/SLC-Attendee-List-final-1.pdf","67","COMET_ONLY","","no","comet (single-source; claude output absent)","2026-06-09"
"R44","South Carolina","The South Carolina Department of Commerce","sccommerce.com","Harry M. Lightsey III","Secretary of Commerce","Y","info@sccommerce.com","comet","VALIDATED","1","https://www.sccommerce.com/contact","95","COMET_ONLY","hlightsey@sccommerce.com","comet","VALIDATED","DIRECT_SOURCE","1","https://www.sccommerce.com/about/open-access-data/south-carolina-ireland-trade-commission","100","COMET_ONLY","","no","comet (single-source; claude output absent)","2026-06-09"
"R45","South Dakota","The South Dakota Governor's Office of Economic Development","sdgoed.com","Bill Even","Commissioner","Y","goedinfo@state.sd.us","comet","VALIDATED","2","https://puc.sd.gov/commission/commissionaction/10yearplan/NWE2022.pdf","72","COMET_ONLY","bill.even@state.sd.us","comet","INFERRED","CONVENTION_INFERENCE","4","https://rules.sd.gov/Uploads/922_PublicNotice.pdf","65","COMET_ONLY","leadership email is convention-inferred (not seen directly); verify before high-stakes use","no","comet (single-source; claude output absent)","2026-06-09"
"R46","Tennessee","The Tennessee Department of Economic and Community Development","tn.gov","Stuart C. McWhorter","Deputy Governor and Commissioner","Y","ECD.Communications.Office@tn.gov","comet","VALIDATED","1","https://www.tn.gov/ecd","95","COMET_ONLY","stuart.mcwhorter@tn.gov","comet","VALIDATED","DIRECT_SOURCE","1","https://tnecd.com/meet-the-team/","100","COMET_ONLY","","no","comet (single-source; claude output absent)","2026-06-09"
"R47","Texas","The Texas Office of the Governor, Economic Development & Tourism division","gov.texas.gov","Adriana Cruz","Executive Director, Texas Economic Development & Tourism Office","Y","business@gov.texas.gov","comet","INFERRED","3","https://www.youtube.com/watch?v=PIKf7nVi_8o","40","COMET_ONLY","adriana.cruz@gov.texas.gov","comet","VALIDATED","DIRECT_SOURCE","2","https://reshoringinstitute.org/wp-content/uploads/2021/03/texasstatepaper.pdf","67","COMET_ONLY","","YES (org-lowconf)","comet (single-source; claude output absent)","2026-06-09"
"R48","U.S. Virgin Islands","The U.S. Virgin Islands Economic Development Authority","usvieda.org","Wayne L. Biggs, Jr.","Chief Executive Officer","Y","info@usvieda.org","comet","VALIDATED","1","https://usvieda.org/2025/12/15/virgin-islands-economic-development-authority-office-on-st-croix-closes-early-this-afternoon/","95","COMET_ONLY","wbiggs@usvieda.org","comet","VALIDATED","DIRECT_SOURCE","1","https://www.usvieda.org/sites/default/files/rfp/RFP002-2020_A&E%20Services_Fleming%20Building_0.pdf","75","COMET_ONLY","","no","comet (single-source; claude output absent)","2026-06-09"
"R49","Utah","The Utah Governor's Office of Economic Opportunity","utah.gov","Jefferson Moss","Commissioner / Executive Director","Y","business@utah.gov","comet","VALIDATED","1","https://business.utah.gov/contact/","95","COMET_ONLY","jrmoss@utah.gov","comet","VALIDATED","DIRECT_SOURCE","1","https://business.utah.gov/team/","100","COMET_ONLY","","no","comet (single-source; claude output absent)","2026-06-09"
"R50","Vermont","The Vermont Agency of Commerce and Community Development","vermont.gov","Lindsay Kurrle","Secretary","Y","","comet","UNVERIFIED","","https://accd.vermont.gov/about-us/contact-us","5","COMET_ONLY","lindsay.kurrle@vermont.gov","comet","VALIDATED","DIRECT_SOURCE","1","https://accd.vermont.gov/about-us/contact-us","100","COMET_ONLY","org email unverified: contact form only — https://accd.vermont.gov/about-us/contact-us ALT: shelley.pembroke@vermont.gov (accessibility), john.kessler@vermont.gov","YES (org)","comet (single-source; claude output absent)","2026-06-09"
"R51","Virginia","The Virginia Economic Development Partnership","vedp.org","Jason El Koubi","President and CEO","Y","info@vedp.org","comet","VALIDATED","1","https://www.vedp.org/contact-us","90","COMET_ONLY","jelkoubi@vedp.org","comet","VALIDATED","DIRECT_SOURCE","1","https://www.vedp.org/our-team","100","COMET_ONLY","","no","comet (single-source; claude output absent)","2026-06-09"
"R52","Washington","The Washington State Department of Commerce","commerce.wa.gov","Sarah Clifthorne","Interim Director","Y","ChooseWashington@commerce.wa.gov","comet","VALIDATED","1","https://choosewashingtonstate.com/contact-us/","95","COMET_ONLY","sarah.clifthorne@commerce.wa.gov","comet","VALIDATED","DIRECT_SOURCE","1","https://choosewashingtonstate.com/about-us/meet-our-team/","100","COMET_ONLY","","no","comet (single-source; claude output absent)","2026-06-09"
"R53","West Virginia","The West Virginia Department of Economic Development","wv.gov","Todd Hooker","Acting Executive Director","Y","commercewebmaster@wv.gov","comet","VALIDATED","1","https://westvirginia.gov/privacy-policy/","80","COMET_ONLY","Todd.E.Hooker@wv.gov","comet","VALIDATED","DIRECT_SOURCE","1","https://westvirginia.gov/connect-with-us/meet-the-team/","100","COMET_ONLY","org email (commercewebmaster@wv.gov) is not a generic info@ address; it is the closest designated public contact — confirm fit for use","no","comet (single-source; claude output absent)","2026-06-09"
"R54","Wisconsin","The Wisconsin Economic Development Corporation","wedc.org","John W. Miller","Secretary and CEO","Y","events@wedc.org","comet","VALIDATED","1","https://wedc.org/contact-us/staff-directory/","95","COMET_ONLY","john.miller@wedc.org","comet","VALIDATED","DIRECT_SOURCE","1","https://wedc.org/contact-us/staff-directory/","100","COMET_ONLY","","no","comet (single-source; claude output absent)","2026-06-09"
"R55","Wyoming","The Wyoming Business Council","wyo.gov","Josh Dorrell","Chief Executive Officer","Y","info.wbc@wyo.gov","comet","VALIDATED","1","https://wyomingbusiness.org/contact/","90","COMET_ONLY","josh.dorrell@wyo.gov","comet","VALIDATED","DIRECT_SOURCE","1","https://wyomingbusiness.org/about/team/","75","COMET_ONLY","","no","comet (single-source; claude output absent)","2026-06-09"
