"record_id","region","state_territory","organization","website","listed_leader_name","listed_leader_title","listed_org_email","listed_leadership_email"
"R22","Mid-Atlantic Regional","Maryland","The Maryland Department of Commerce","https://commerce.maryland.gov/","Harry Coker, Jr.","Secretary of Commerce","secretary.commerce@maryland.gov","harry.coker@maryland.gov"
"R23","Northeast Regional","Massachusetts","The Massachusetts Executive Office of Economic Development","https://www.mass.gov/orgs/executive-office-of-economic-development","Eric Paley","Secretary","","eric.paley@mass.gov"
"R24","North Central Regional","Michigan","The Michigan Economic Development Corporation","https://www.michiganbusiness.org/","Quentin L. Messer, Jr.","CEO","medc@michigan.org","quentin.messer@michigan.org"
"R25","North Central Regional","Minnesota","The Minnesota Department of Employment and Economic Development","https://mn.gov/deed/","Matt Varilek","Commissioner","deed.customerservice@state.mn.us","matt.varilek@state.mn.us"
"R26","Southeast Regional","Mississippi","The Mississippi Development Authority","https://www.mississippi.org/","Bill Cork","Executive Director","info@mississippi.org","bcork@mississippi.org"
"R27","North Central Regional","Missouri","The Missouri Department of Economic Development","https://ded.mo.gov/","Michelle Hataway","Director","info@ded.mo.gov","michelle.hataway@ded.mo.gov"
"R28","Pacific Northwest Regional","Montana","The Montana Department of Commerce","https://commerce.mt.gov/","Marta Bertoglio","Director","","marta.bertoglio@mt.gov"
"R29","North Central Regional","Nebraska","The Nebraska Department of Economic Development","https://opportunity.nebraska.gov/","Maureen Larsen","Director","opportunity@nebraska.gov","maureen.larsen@nebraska.gov"
"R30","Western Regional","Nevada","The Nevada Governor's Office of Economic Development","https://www.diversifynevada.com/","Tom Burns","Executive Director","info@diversifynevada.com","tom.burns@goed.nv.gov"
"R31","Northeast Regional","New Hampshire","The New Hampshire Department of Business and Economic Affairs","https://www.nheconomy.com/","Taylor Caswell","Commissioner","info@nheconomy.com","taylor.caswell@livefree.nh.gov"
"R32","Mid-Atlantic Regional","New Jersey","The New Jersey Economic Development Authority","https://www.nj.gov/state/njeda/","Evan Weiss","CEO","","eweiss@njeda.com"
"R33","South Central Regional","New Mexico","The New Mexico Economic Development Department","https://edd.newmexico.gov/","Rob Black","Cabinet Secretary","info@edd.newmexico.gov","rob.black@edd.nm.gov"
"R34","Northeast Regional","New York","Empire State Development","https://esd.ny.gov/","Hope Knight","President, CEO, and Commissioner","","hknight@esd.ny.gov"
"R35","Southeast Regional","North Carolina","The Economic Development Partnership of North Carolina","https://edpnc.com/","Christopher Chung","CEO","client.services@edpnc.com","christopher.chung@edpnc.com"
"R36","North Central Regional","North Dakota","The North Dakota Department of Commerce","https://www.commerce.nd.gov/","Josh Teigen","Commissioner","ndcommerce@nd.gov","josh.teigen@nd.gov"
"R37","Northern Mariana Islands","Northern Mariana Islands","The Department of Commerce for the Commonwealth of the Northern Mariana Islands","https://commerce.cnmi.gov/","Edward M. Deleon Guerrero","Secretary of Commerce","info@commerce.cnmi.gov","edward.deleonguerrero@commerce.cnmi.gov"
"R38","North Central Regional","Ohio","The Ohio Department of Development","https://development.ohio.gov/","Lydia Mihalik","Director","","Lydia.Mihalik@development.ohio.gov"
"R39","South Central Regional","Oklahoma","The Oklahoma Department of Commerce","https://www.okcommerce.gov/","Deborah Moorad","Secretary of Commerce","info@okcommerce.gov","deborah.moorad@okcommerce.gov"
"R40","Pacific Northwest Regional","Oregon","Business Oregon","https://www.oregon.gov/biz/","Sophorn Cheang","Director","business.oregon@oregon.gov","sophorn.cheang@biz.oregon.gov"
"R41","Mid-Atlantic Regional","Pennsylvania","The Pennsylvania Department of Community & Economic Development","https://dced.pa.gov/","Rick Siger","Secretary","","rsiger@pa.gov"
"R42","Puerto Rico","Puerto Rico","The Puerto Rico Department of Economic Development and Commerce","https://www.ddec.pr.gov/en/","Sebastián Negrón Reichard","Secretary","info@ddec.pr.gov","snegron@ddec.pr.gov"
"R43","Northeast Regional","Rhode Island","Rhode Island Commerce","https://commerceri.com/","Liz Tanner","Secretary of Commerce","info@commerceri.com","liz.tanner@commerceri.com"
"R44","Southeast Regional","South Carolina","The South Carolina Department of Commerce","https://sccommerce.com/","Harry M. Lightsey III","Secretary of Commerce","info@sccommerce.com","hlightsey@sccommerce.com"
"R45","North Central Regional","South Dakota","The South Dakota Governor's Office of Economic Development","https://sdgoed.com/","Chris Schilken","Commissioner","goedinfo@state.sd.us","chris.schilken@state.sd.us"
"R46","Southeast Regional","Tennessee","The Tennessee Department of Economic and Community Development","https://www.tn.gov/ecd","Stuart C. McWhorter","Commissioner","","stuart.mcwhorter@tn.gov"
"R47","South Central Regional","Texas","The Texas Office of the Governor, Economic Development & Tourism division","https://gov.texas.gov/business","Adriana Cruz","Executive Director, Economic Development & Tourism","","adriana.cruz@gov.texas.gov"
"R48","U.S. Virgin Islands","U.S. Virgin Islands","The U.S. Virgin Islands Economic Development Authority","https://www.usvieda.org/","Wayne L. Biggs, Jr.","CEO","info@usvieda.org","wbiggs@usvieda.org"
"R49","South Central Regional","Utah","The Utah Governor's Office of Economic Opportunity","https://business.utah.gov/","Ryan Starks","Executive Director","webmaster@utah.gov","ryan.starks@utah.gov"
"R50","Northeast Regional","Vermont","The Vermont Agency of Commerce and Community Development","https://accd.vermont.gov/","Lindsay Kurrle","Secretary","accd.vermont@vermont.gov","lindsay.kurrle@vermont.gov"
"R51","Mid-Atlantic Regional","Virginia","The Virginia Economic Development Partnership","https://www.vedp.org/","Jason El Koubi","President & CEO","info@vedp.org","jelkoubi@vedp.org"
"R52","Pacific Northwest Regional","Washington","The Washington State Department of Commerce","https://www.commerce.wa.gov/","Mike Fong","Director","info@commerce.wa.gov","mike.fong@commerce.wa.gov"
"R53","Mid-Atlantic Regional","West Virginia","The West Virginia Department of Economic Development","https://economicdevelopment.wv.gov/","Mitch Carmichael","Secretary of Economic Development","quotes@wv.gov","mitch.carmichael@wv.gov"
"R54","North Central Regional","Wisconsin","The Wisconsin Economic Development Corporation","https://wedc.org/","John W. Miller","Secretary and CEO","","john.miller@wedc.org"
"R55","Pacific Northwest Regional","Wyoming","The Wyoming Business Council","https://www.wyomingbusiness.org/","Josh Dorrell","CEO","wbc.info@wyo.gov","josh.dorrell@wyo.gov"
